N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
3,1000,1.5,0.3,3,3,1,45103123,tsboss,92.21875,0.2622614159990917
3,1000,1.5,0.3,3,3,1,45103123,pcmci,97.828125,0.298563207994448
3,1000,1.5,0.3,3,3,1,45103123,dynotears,150.734375,0.5582489579974208
3,1000,1.5,0.3,3,3,1,45103123,tsfges,164.578125,0.3377396249998128
3,1000,1.5,0.3,3,3,1,45103123,tsboss_iid,32.984375,0.010497957999177743
3,1000,1.5,0.3,3,3,2,45103124,tsboss,91.96875,0.2682227920013247
3,1000,1.5,0.3,3,3,2,45103124,pcmci,98.0625,0.3293151250036317
3,1000,1.5,0.3,3,3,2,45103124,dynotears,150.40625,0.5542759590025526
3,1000,1.5,0.3,3,3,2,45103124,tsfges,165.90625,0.3404679169980227
3,1000,1.5,0.3,3,3,2,45103124,tsboss_iid,33.09375,0.011556207995454315
3,1000,1.5,0.3,3,3,3,45103125,tsboss,92.125,0.2673356250015786
3,1000,1.5,0.3,3,3,3,45103125,pcmci,97.953125,0.3064403750031488
3,1000,1.5,0.3,3,3,3,45103125,dynotears,150.640625,0.5161281250038883
3,1000,1.5,0.3,3,3,3,45103125,tsfges,165.953125,0.31228508400090504
3,1000,1.5,0.3,3,3,3,45103125,tsboss_iid,33.125,0.010234500005026348
3,1000,1.5,0.3,3,3,4,45103126,tsboss,92.125,0.25383591699937824
3,1000,1.5,0.3,3,3,4,45103126,pcmci,97.640625,0.2828855420011678
3,1000,1.5,0.3,3,3,4,45103126,dynotears,150.25,0.47853004100034013
3,1000,1.5,0.3,3,3,4,45103126,tsfges,161.75,0.2849291250022361
3,1000,1.5,0.3,3,3,4,45103126,tsboss_iid,32.890625,0.008966375004092697
3,1000,1.5,0.3,3,3,5,45103127,tsboss,92.359375,0.2574076669989154
3,1000,1.5,0.3,3,3,5,45103127,pcmci,98.09375,0.2982165419962257
3,1000,1.5,0.3,3,3,5,45103127,dynotears,150.1875,0.5161385829997016
3,1000,1.5,0.3,3,3,5,45103127,tsfges,163.953125,0.3174080419994425
3,1000,1.5,0.3,3,3,5,45103127,tsboss_iid,33.015625,0.011088041996117681
3,1000,1.5,0.3,3,3,6,45103128,tsboss,92.25,0.2538409579938161
3,1000,1.5,0.3,3,3,6,45103128,pcmci,98.0625,0.2898727499996312
3,1000,1.5,0.3,3,3,6,45103128,dynotears,150.109375,0.5129473749984754
3,1000,1.5,0.3,3,3,6,45103128,tsfges,162.140625,0.2976645419985289
